id,gene_symbol,logFC,AveExpr,t,P_Value,adj_P_Val,B
129,BCL2L1,1.210482477,7.570297951000001,12.28433212,1.0500000000000001e-10,3.13e-09,14.47513552
131,EPHB1,4.563958833,3.803477625,12.27462984,1.0699999999999999e-10,3.14e-09,14.64984199
132,SPHK2,1.49406116,4.948246313,12.2704076,1.0699999999999999e-10,3.16e-09,14.53494794
133,ANGPTL4,3.5711862439999997,3.185817262,12.2577975,1.09e-10,3.2e-09,14.68732457
134,AP3M2,1.232968473,4.192331661,12.25029313,1.1e-10,3.22e-09,14.57405376
136,RANGAP1,1.377209417,7.124617862999999,12.20849869,1.17e-10,3.3899999999999997e-09,14.36050375
137,STOML1,1.296920537,5.025385455,12.15139421,1.27e-10,3.63e-09,14.35379343
139,NRP1,1.0011237640000001,10.04993834,12.10913173,1.35e-10,3.829999999999999e-09,14.28813268
140,PRKCD,1.269273538,5.480415097000001,12.09812716,1.38e-10,3.87e-09,14.24562632
142,SMOX,1.210068403,4.496780554,12.08198864,1.41e-10,3.9299999999999995e-09,14.2966788
143,RASSF1,1.291572658,5.264126178,12.00619855,1.5699999999999997e-10,4.36e-09,14.12151126
144,SPRY2,1.9787663640000002,6.476101786,11.98214262,1.6299999999999998e-10,4.49e-09,14.02878323
146,OPN3,1.809478212,4.254138821000001,11.96383038,1.67e-10,4.589999999999999e-09,14.14488734
147,SPRYD7,1.190866193,4.048253763,11.95049638,1.71e-10,4.670000000000001e-09,14.1464888
148,IVL,5.9088980079999995,0.11355042800000001,11.92792357,1.76e-10,4.770000000000001e-09,13.55017486
149,MT2A,2.4177468269999998,8.122178468,11.91508587,1.8e-10,4.85e-09,13.93720091
150,LAMC2,2.9080258839999997,3.0637275280000003,11.89606055,1.8499999999999998e-10,4.970000000000001e-09,14.1704318
152,EIF4A2,1.296309946,8.911910217,11.85270648,1.97e-10,5.25e-09,13.86692203
153,ENDOD1,1.94815346,5.846583616,11.84992378,1.9800000000000001e-10,5.2600000000000004e-09,13.85339484
154,METTL5,1.018278947,4.740610946,11.819046499999999,2.07e-10,5.47e-09,13.88069452
155,FAM86DP,1.895241515,4.144506891,11.81210453,2.0899999999999998e-10,5.51e-09,13.92903978
157,ALDH2,1.1958767129999999,5.070413671,11.78829489,2.16e-10,5.6700000000000005e-09,13.80685451
158,PCDH9,2.40989835,3.210140079,11.76941993,2.23e-10,5.8099999999999996e-09,13.96865586
159,WTIP,1.291004584,5.122967095,11.76456863,2.24e-10,5.83e-09,13.76705101
160,KPRP,6.263725341000001,2.088627717,11.73456808,2.34e-10,6.0499999999999996e-09,13.96780092
161,BCAR3,1.557005221,6.791471293,11.71774894,2.4e-10,6.18e-09,13.62420816
164,RNPC3,1.932970729,2.742627042,11.6507101,2.65e-10,6.709999999999999e-09,13.83211229
165,NTSR1,5.728138098,3.302749359,11.64810931,2.66e-10,6.720000000000001e-09,13.77706049
166,SLC7A1,1.585855386,8.308467183,11.64531823,2.68e-10,6.73e-09,13.5324992
169,NRIP3,1.590603339,3.6292892269999997,11.59259618,2.89e-10,7.2199999999999995e-09,13.65567221
170,KRT8P12,3.159543638,1.758509834,11.57262246,2.98e-10,7.4e-09,13.70663996
